filename,type,area,generated,alt_text
downtown-abq-loft-exterior.png,loft exterior,Downtown Albuquerque,yes,"Generated sample: red-brick warehouse-style loft exterior in downtown Albuquerque with desert landscaping and Sandia Mountains in the distance. Not a real street address."
downtown-abq-loft-interior.png,loft interior,Downtown Albuquerque,yes,"Generated sample: open loft living space with brick walls, tall factory windows, and desert daylight. Not a real unit."
downtown-abq-loft-kitchen.png,loft kitchen,Downtown Albuquerque,yes,"Generated sample: industrial loft kitchen along a brick wall with a butcher-block island. Not a real unit."
downtown-abq-apartment-living.png,apartment living,Downtown Albuquerque,yes,"Generated sample: modest downtown Albuquerque apartment living-dining room. Not a real unit."
nob-hill-apartment-living.png,apartment living,Nob Hill Albuquerque,yes,"Generated sample: Nob Hill apartment living room with hardwood floors and a small fireplace. Not a real unit."
nob-hill-courtyard-apartments.png,apartment courtyard exterior,Nob Hill Albuquerque,yes,"Generated sample: adobe courtyard apartments in a Nob Hill style with chile ristras and gravel paths. Not a real address."
abq-southwest-flat-bedroom.png,flat bedroom,Greater Albuquerque,yes,"Generated sample: southwest-style bedroom in a ground-floor Albuquerque flat. Not a real unit."
abq-balcony-sandia-view.png,apartment balcony view,Greater Albuquerque,yes,"Generated sample: small Albuquerque balcony looking toward the Sandia Mountains at dusk. Not a real address."
rio-rancho-apartment-exterior.png,apartment exterior,Rio Rancho,yes,"Generated sample: three-story tan stucco apartment community in Rio Rancho with xeriscape landscaping. Not a real complex."
rio-rancho-apartment-living.png,apartment living,Rio Rancho,yes,"Generated sample: suburban Rio Rancho apartment living room with a patio slider. Not a real unit."
rio-rancho-flat-kitchen.png,flat kitchen,Rio Rancho,yes,"Generated sample: bright kitchen and dining nook in a Rio Rancho flat. Not a real unit."
rio-rancho-flat-bath.png,flat bath,Rio Rancho,yes,"Generated sample: modest bathroom in a Rio Rancho apartment flat. Not a real unit."
